gene_id,HNRNPK,NELFE,PKM
ENSG00000011304,0,-0.000983878428350229,-0.000334601656721973
ENSG00000011332,0,0,-0.00090019614089899
ENSG00000011347,0,-0.00165426698001014,-0.00355334665340958
ENSG00000011376,0,-0.000647398746145375,-0.000227551662259799
ENSG00000011405,0,-0.00477262105074215,-0.00200849306500413
ENSG00000011422,0,0,-0.00462702975658864
ENSG00000011426,0,-0.00144900047593419,-0.00312754691479466
ENSG00000011451,0,-0.00287286773647053,-0.00130940644436216
ENSG00000011454,0,-0.00252334038209545,-0.00305948566636457
ENSG00000011465,0,0,-0.00262068040895364
ENSG00000011478,0,-0.000773084727853869,-0.0020028585169939
ENSG00000011485,0.0226001188812885,0,-0.00073231275032564
ENSG00000011523,0,-0.00348639525981986,-0.00231260237825902
ENSG00000011566,0,-0.00206680469591346,-0.0042109762496937
ENSG00000011590,0,-0.00114214978431751,-0.00432202819781452
ENSG00000011600,0,0,-0.0059883213123613
ENSG00000011638,0,-0.00210453436245142,-0.00413078202340192
ENSG00000011677,0,0,0
ENSG00000012048,0,-0.000895857563678295,-0.00274262925279734
ENSG00000012061,0.0224763291935262,0,-0.000523589907829477
ENSG00000012124,0,0,-0.00200111220289879
ENSG00000012171,0,0,-0.00245041499727341
ENSG00000012174,0,0,-0.00152134876151269
ENSG00000012211,0,-0.00543344288050186,-0.000350622907025149
ENSG00000012223,0,0,-0.00406859923756603
ENSG00000012232,0,-0.00179031313115896,-0.000357286673693205
ENSG00000012504,0,0,0
