Term,Name,NES,NOM p-val,FDR q-val,Lead_genes
REACTOME_SOMITOGENESIS,prerank,3.133123993726111,0.0,0.0,ENSG00000130706;ENSG00000168214;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,prerank,3.0768404263843925,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507;ENSG00000072062
REACTOME_DEGRADATION_OF_DVL,prerank,2.9873557642198727,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_DEGRADATION_OF_AXIN,prerank,3.063981365637311,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY,prerank,3.0544467970333034,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000105329;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_STABILIZATION_OF_P53,prerank,3.0658373837252944,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING,prerank,3.0414909012887477,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_GSK3B_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274,prerank,3.002247253910592,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS,prerank,3.0446843962309984,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000151694;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507;ENSG00000165280;ENSG00000185624;ENSG00000135506;ENSG00000163501
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING,prerank,3.0125710904730925,0.0,0.0,ENSG00000130706;ENSG00000150991;ENSG00000100902;ENSG00000100804;ENSG00000087191;ENSG00000100764;ENSG00000103035;ENSG00000175166;ENSG00000013275;ENSG00000108671;ENSG00000185627;ENSG00000173692;ENSG00000108344;ENSG00000115233;ENSG00000041357;ENSG00000101182;ENSG00000099341;ENSG00000126067;ENSG00000165916;ENSG00000142507
